order_id,line_number,customer_id,product_id,order_date,quantity
1001,1,38,102,2024-05-25,1
1002,1,4,106,2024-03-02,1
1003,1,16,103,2024-03-12,1
1004,1,37,113,2024-05-27,1
1004,2,37,102,2024-05-27,1
1005,1,28,112,2024-03-31,1
1006,1,42,106,2024-06-15,2
1007,1,7,103,2024-03-09,1
1008,1,18,108,2024-04-28,2
1008,2,18,114,2024-04-28,1
1008,3,18,101,2024-04-28,1
1009,1,35,114,2024-01-04,1
1009,2,35,107,2024-01-04,1
1009,3,35,104,2024-01-04,2
1010,1,4,105,2024-02-12,2
1010,2,4,113,2024-02-12,1
1010,3,4,107,2024-02-12,1
1011,1,47,104,2024-05-22,1
1012,1,4,106,2024-05-28,1
1013,1,38,103,2024-05-02,1
1013,2,38,109,2024-05-02,1
1014,1,12,104,2024-01-18,1
1014,2,12,115,2024-01-18,1
1015,1,38,111,2024-06-01,1
1016,1,34,112,2024-03-21,1
1017,1,17,108,2024-04-13,1
1017,2,17,113,2024-04-13,2
1018,1,1,102,2024-04-27,1
1019,1,14,115,2024-05-11,1
1019,2,14,104,2024-05-11,1
1019,3,14,103,2024-05-11,1
1020,1,35,113,2024-06-29,1
1020,2,35,101,2024-06-29,1
1020,3,35,109,2024-06-29,1
1021,1,43,102,2024-01-27,2
1022,1,48,104,2024-05-25,1
1023,1,14,108,2024-06-24,1
1024,1,4,101,2024-01-24,1
1024,2,4,113,2024-01-24,1
1025,1,17,107,2024-02-11,1
1026,1,8,103,2024-01-20,1
1026,2,8,114,2024-01-20,1
1027,1,36,106,2024-02-07,2
1028,1,3,102,2024-04-06,1
1029,1,36,115,2024-04-14,2
1029,2,36,114,2024-04-14,1
1030,1,12,106,2024-04-20,1
1030,2,12,107,2024-04-20,2
1031,1,48,102,2024-03-09,1
1031,2,48,101,2024-03-09,2
1032,1,15,105,2024-02-21,2
1033,1,15,106,2024-03-02,1
1034,1,5,111,2024-03-12,3
1035,1,35,105,2024-03-25,1
1036,1,17,112,2024-01-13,1
1037,1,28,115,2024-06-04,1
1038,1,17,115,2024-01-12,2
1039,1,44,111,2024-06-22,2
1040,1,40,115,2024-03-21,1
1041,1,20,105,2024-06-19,1
1042,1,13,112,2024-04-17,2
1043,1,40,101,2024-05-25,1
1044,1,14,106,2024-04-20,1
1044,2,14,108,2024-04-20,1
1045,1,33,112,2024-05-01,1
1045,2,33,102,2024-05-01,1
1045,3,33,111,2024-05-01,1
1046,1,22,111,2024-01-24,1
1046,2,22,113,2024-01-24,1
1047,1,2,114,2024-01-13,1
1048,1,30,112,2024-04-16,1
1049,1,32,101,2024-04-13,2
1049,2,32,114,2024-04-13,1
1050,1,7,112,2024-04-20,1
1050,2,7,101,2024-04-20,1
1051,1,8,109,2024-04-27,3
1052,1,39,110,2024-03-22,2
1052,2,39,115,2024-03-22,1
1053,1,36,108,2024-04-24,1
1053,2,36,113,2024-04-24,1
1054,1,41,111,2024-03-11,1
1055,1,29,106,2024-01-20,1
1056,1,35,112,2024-01-21,1
1057,1,14,108,2024-01-17,1
1058,1,14,112,2024-04-17,1
1058,2,14,115,2024-04-17,1
1059,1,25,113,2024-05-04,1
1060,1,27,110,2024-05-17,2
1061,1,32,107,2024-03-02,1
1062,1,44,115,2024-04-13,1
1062,2,44,110,2024-04-13,1
1063,1,26,111,2024-05-31,1
1064,1,30,104,2024-02-17,1
1065,1,22,107,2024-04-07,1
1065,2,22,102,2024-04-07,1
1065,3,22,112,2024-04-07,1
1066,1,23,111,2024-02-27,1
1066,2,23,101,2024-02-27,2
1067,1,13,108,2024-01-06,1
1068,1,37,106,2024-02-25,1
1069,1,39,105,2024-01-30,1
1070,1,2,107,2024-03-20,1
1070,2,2,112,2024-03-20,1
1070,3,2,110,2024-03-20,1
1071,1,41,114,2024-03-03,1
1071,2,41,113,2024-03-03,1
1072,1,37,106,2024-01-11,1
1073,1,42,108,2024-03-30,1
1074,1,24,103,2024-06-11,1
1075,1,47,113,2024-05-13,2
1076,1,50,110,2024-05-03,1
1076,2,50,114,2024-05-03,1
1077,1,6,108,2024-03-12,1
1078,1,43,106,2024-04-07,1
1079,1,14,115,2024-03-31,1
1080,1,18,102,2024-05-25,1
1080,2,18,107,2024-05-25,1
1080,3,18,113,2024-05-25,1
1081,1,31,101,2024-06-14,1
1082,1,15,110,2024-04-13,1
1083,1,36,109,2024-05-15,1
1083,2,36,112,2024-05-15,1
1083,3,36,105,2024-05-15,1
1084,1,8,113,2024-02-19,1
1084,2,8,104,2024-02-19,1
1085,1,31,109,2024-03-11,1
1085,2,31,102,2024-03-11,2
1085,3,31,105,2024-03-11,1
1086,1,12,105,2024-03-23,1
