order_date,num_orders,items_sold,total_revenue
2024-01-04,1,4,15.75
2024-01-05,4,7,24.0
2024-01-06,2,2,6.5
2024-01-07,1,2,7.0
2024-01-08,1,2,9.0
2024-01-09,1,3,10.5
2024-01-10,1,1,3.5
2024-01-11,3,4,17.9
2024-01-12,3,5,16.75
2024-01-13,11,20,78.65
2024-01-14,1,2,9.0
2024-01-15,1,2,8.25
2024-01-16,3,5,15.75
2024-01-17,3,5,15.5
2024-01-18,2,4,12.5
2024-01-19,3,5,19.4
2024-01-20,8,15,63.05
2024-01-21,3,7,26.25
2024-01-24,7,12,44.85
2024-01-26,2,5,14.75
2024-01-27,1,2,6.5
2024-01-28,1,1,4.95
2024-01-29,1,1,3.0
2024-01-30,4,6,22.7
2024-02-02,1,1,3.75
2024-02-03,1,3,9.95
2024-02-04,1,2,5.5
2024-02-05,2,2,6.5
2024-02-06,2,2,6.0
2024-02-07,1,2,9.5
2024-02-09,2,5,20.0
2024-02-10,5,7,25.2
2024-02-11,1,1,3.5
2024-02-12,1,4,15.75
2024-02-13,1,2,8.5
2024-02-15,1,3,12.95
2024-02-16,1,1,3.0
2024-02-17,4,5,19.7
2024-02-18,1,2,6.25
2024-02-19,2,5,19.5
2024-02-20,1,2,6.0
2024-02-21,2,3,14.25
2024-02-23,3,3,9.75
2024-02-24,4,6,21.45
2024-02-25,2,2,9.5
2024-02-27,1,3,9.25
2024-02-28,3,6,21.7
2024-02-29,2,4,13.0
2024-03-02,5,5,20.0
2024-03-03,5,9,35.0
2024-03-04,2,3,13.0
2024-03-06,2,4,14.5
2024-03-08,1,4,17.5
2024-03-09,7,13,46.5
2024-03-10,1,1,4.5
2024-03-11,3,6,23.25
2024-03-12,3,5,17.75
2024-03-13,3,6,24.0
2024-03-15,3,7,22.2
2024-03-16,5,8,32.9
2024-03-17,2,6,20.0
2024-03-18,1,2,6.0
2024-03-20,5,12,45.7
2024-03-21,2,2,5.5
2024-03-22,3,6,24.15
2024-03-23,6,8,31.0
2024-03-24,1,4,14.75
2024-03-25,4,5,18.0
2024-03-27,3,5,17.5
2024-03-28,1,3,10.25
2024-03-29,2,5,20.75
2024-03-30,4,8,28.5
2024-03-31,3,6,23.6
2024-04-01,3,3,10.5
2024-04-04,3,5,19.2
2024-04-05,3,6,28.05
2024-04-06,8,15,60.7
2024-04-07,3,6,20.5
2024-04-10,2,6,24.5
2024-04-11,1,1,4.25
2024-04-13,7,13,44.65
2024-04-14,4,11,36.5
2024-04-16,2,3,10.75
2024-04-17,3,7,21.0
2024-04-18,1,2,9.5
2024-04-19,1,1,3.25
2024-04-20,10,20,71.95
2024-04-21,1,4,16.75
2024-04-22,1,1,3.0
2024-04-23,1,1,4.5
2024-04-24,3,4,13.75
2024-04-27,10,17,65.95
2024-04-28,2,5,18.0
2024-04-29,1,2,9.9
2024-05-01,2,8,25.5
2024-05-02,4,6,22.0
2024-05-03,2,3,13.2
2024-05-04,5,11,38.7
2024-05-05,1,1,3.75
2024-05-06,2,3,12.45
2024-05-07,2,5,18.0
2024-05-10,1,1,3.0
2024-05-11,6,11,37.5
2024-05-12,1,2,7.7
2024-05-13,2,5,15.5
2024-05-14,2,4,14.0
2024-05-15,2,4,15.5
2024-05-16,1,2,6.0
2024-05-17,2,4,15.4
2024-05-18,6,7,25.75
2024-05-19,1,2,9.5
2024-05-20,1,2,8.25
2024-05-22,5,8,28.75
2024-05-23,3,6,23.45
2024-05-24,3,7,18.5
2024-05-25,10,17,61.0
2024-05-26,1,2,9.25
2024-05-27,1,2,6.0
2024-05-28,4,5,21.45
2024-05-30,2,5,17.2
2024-05-31,2,2,6.5
2024-06-01,7,13,44.9
2024-06-04,4,4,12.0
2024-06-05,2,6,24.0
2024-06-06,4,6,23.0
2024-06-07,1,3,11.0
2024-06-08,3,6,21.0
2024-06-11,2,2,7.75
2024-06-12,2,7,26.25
2024-06-13,1,2,7.5
2024-06-14,3,4,16.4
2024-06-15,4,9,37.45
2024-06-16,3,5,18.75
2024-06-17,2,4,15.95
2024-06-19,1,1,4.75
2024-06-20,3,4,14.0
2024-06-21,2,3,12.5
2024-06-22,8,16,56.25
2024-06-23,4,10,41.25
2024-06-24,2,2,6.75
2024-06-25,1,3,14.25
2024-06-26,1,1,4.75
2024-06-29,6,11,39.95
2024-06-30,3,4,13.5
